URI,routeStreets,direction,startCrossStreets,endCrossStreets,timeRange,dateRange,daysOfWeek,holidaysIncluded,hoursInRange,mean_travel_time_minutes,mean_travel_time_seconds,moe_lower_p95,moe_upper_p95
"http://localhost:8072/aggregate-travel-times/30345882/30357505/5/6/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 05:00 to 06:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,6.191,371.485,359.98,382.307
"http://localhost:8072/aggregate-travel-times/30345882/30357505/5/6/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 05:00 to 06:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,6.569,394.158,330.282,440.926
"http://localhost:8072/aggregate-travel-times/30345882/30357505/6/7/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 06:00 to 07:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,6.284,377.036,371.426,382.819
"http://localhost:8072/aggregate-travel-times/30345882/30357505/6/7/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 06:00 to 07:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,5.668,340.089,327.176,354.835
"http://localhost:8072/aggregate-travel-times/30345882/30357505/7/8/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 07:00 to 08:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,8.191,491.455,478.288,503.396
"http://localhost:8072/aggregate-travel-times/30345882/30357505/7/8/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 07:00 to 08:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,6.404,384.218,371.902,395.14
"http://localhost:8072/aggregate-travel-times/30345882/30357505/8/9/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 08:00 to 09:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,12.276,736.558,710.917,760.9
"http://localhost:8072/aggregate-travel-times/30345882/30357505/8/9/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 08:00 to 09:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,8.484,509.036,483.573,534.886
"http://localhost:8072/aggregate-travel-times/30345882/30357505/9/10/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 09:00 to 10:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,10.619,637.116,621.287,660.229
"http://localhost:8072/aggregate-travel-times/30345882/30357505/9/10/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 09:00 to 10:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.83,469.785,456.275,485.516
"http://localhost:8072/aggregate-travel-times/30345882/30357505/10/11/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 10:00 to 11:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,9.997,599.825,586.96,613.244
"http://localhost:8072/aggregate-travel-times/30345882/30357505/10/11/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 10:00 to 11:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.286,437.15,421.158,447.951
"http://localhost:8072/aggregate-travel-times/30345882/30357505/11/12/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 11:00 to 12:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,10.336,620.181,607.375,632.627
"http://localhost:8072/aggregate-travel-times/30345882/30357505/11/12/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 11:00 to 12:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.837,470.2,456.724,485.555
"http://localhost:8072/aggregate-travel-times/30345882/30357505/12/13/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 12:00 to 13:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,10.883,653,633.695,672.121
"http://localhost:8072/aggregate-travel-times/30345882/30357505/12/13/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 12:00 to 13:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.928,475.657,461.693,492.285
"http://localhost:8072/aggregate-travel-times/30345882/30357505/13/14/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 13:00 to 14:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,10.351,621.052,605.528,640.251
"http://localhost:8072/aggregate-travel-times/30345882/30357505/13/14/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 13:00 to 14:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.837,470.234,454.869,486.044
"http://localhost:8072/aggregate-travel-times/30345882/30357505/14/15/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 14:00 to 15:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,10.28,616.807,600.657,629.958
"http://localhost:8072/aggregate-travel-times/30345882/30357505/14/15/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 14:00 to 15:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.917,475.038,455.695,493.704
"http://localhost:8072/aggregate-travel-times/30345882/30357505/15/16/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 15:00 to 16:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,12.001,720.061,697.933,737.164
"http://localhost:8072/aggregate-travel-times/30345882/30357505/15/16/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 15:00 to 16:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,8.231,493.836,477.791,508.033
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/17/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 17:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,13.43,805.799,783.064,826.218
"http://localhost:8072/aggregate-travel-times/30345882/30357505/16/17/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 16:00 to 17:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,8.127,487.62,466.798,511.366
"http://localhost:8072/aggregate-travel-times/30345882/30357505/17/18/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 17:00 to 18:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,13.459,807.533,784.816,829.38
"http://localhost:8072/aggregate-travel-times/30345882/30357505/17/18/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 17:00 to 18:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,8.573,514.399,493.543,535.644
"http://localhost:8072/aggregate-travel-times/30345882/30357505/18/19/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 18:00 to 19:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,11.47,688.204,666.508,707.622
"http://localhost:8072/aggregate-travel-times/30345882/30357505/18/19/2022-11-01/2023-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 18:00 to 19:00","From 2022-11-01 to 2023-04-01","weekdays",false,105,7.992,479.503,461.364,490.84
"http://localhost:8072/aggregate-travel-times/30345882/30357505/19/20/2023-11-01/2024-04-01/false/12345","Bloor St W","Eastbound","Aberfoyle Cres & Gardenvale Rd","Runnymede Rd","From 19:00 to 20:00","From 2023-11-01 to 2024-04-01","weekdays",false,103,8.818,529.074,515.672,541.208
