URI,routeStreets,direction,startCrossStreets,endCrossStreets,timeRange,dateRange,daysOfWeek,holidaysIncluded,hoursInRange,sample,mean_travel_time_minutes,mean_travel_time_seconds
http://localhost:8072/aggregate-travel-times/30345882/30357505/6/7/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 06:00 to 07:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,34,5.668152808,340.0891685
http://localhost:8072/aggregate-travel-times/30345882/30357505/7/8/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 07:00 to 08:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,78,8.190912942,491.4547765
http://localhost:8072/aggregate-travel-times/30345882/30357505/7/8/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 07:00 to 08:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,78,6.403633605,384.2180163
http://localhost:8072/aggregate-travel-times/30345882/30357505/8/9/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 08:00 to 09:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,90,12.2759715,736.55829
http://localhost:8072/aggregate-travel-times/30345882/30357505/8/9/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 08:00 to 09:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,92,8.483940938,509.0364563
http://localhost:8072/aggregate-travel-times/30345882/30357505/9/10/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 09:00 to 10:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,95,10.61859533,637.1157196
http://localhost:8072/aggregate-travel-times/30345882/30357505/9/10/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 09:00 to 10:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,87,7.829748191,469.7848914
http://localhost:8072/aggregate-travel-times/30345882/30357505/10/11/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 10:00 to 11:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,92,9.997075319,599.8245192
http://localhost:8072/aggregate-travel-times/30345882/30357505/10/11/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 10:00 to 11:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,61,7.285839894,437.1503936
http://localhost:8072/aggregate-travel-times/30345882/30357505/11/12/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 11:00 to 12:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,88,10.3363514,620.1810837
http://localhost:8072/aggregate-travel-times/30345882/30357505/11/12/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 11:00 to 12:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,57,7.836670299,470.200218
http://localhost:8072/aggregate-travel-times/30345882/30357505/12/13/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 12:00 to 13:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,87,10.88333518,653.0001108
http://localhost:8072/aggregate-travel-times/30345882/30357505/12/13/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 12:00 to 13:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,64,7.92761433,475.6568598
http://localhost:8072/aggregate-travel-times/30345882/30357505/13/14/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 13:00 to 14:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,85,10.35086151,621.0516906
http://localhost:8072/aggregate-travel-times/30345882/30357505/13/14/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 13:00 to 14:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,65,7.837236451,470.2341871
http://localhost:8072/aggregate-travel-times/30345882/30357505/14/15/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 14:00 to 15:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,84,10.28011446,616.8068675
http://localhost:8072/aggregate-travel-times/30345882/30357505/14/15/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 14:00 to 15:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,57,7.91729643,475.0377858
http://localhost:8072/aggregate-travel-times/30345882/30357505/15/16/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 15:00 to 16:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,84,12.0010102,720.060612
http://localhost:8072/aggregate-travel-times/30345882/30357505/15/16/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 15:00 to 16:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,63,8.230596509,493.8357905
http://localhost:8072/aggregate-travel-times/30345882/30357505/16/17/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 16:00 to 17:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,82,13.42998398,805.7990387
http://localhost:8072/aggregate-travel-times/30345882/30357505/16/17/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 16:00 to 17:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,64,8.127000096,487.6200058
http://localhost:8072/aggregate-travel-times/30345882/30357505/17/18/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 17:00 to 18:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,85,13.45887839,807.5327035
http://localhost:8072/aggregate-travel-times/30345882/30357505/17/18/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 17:00 to 18:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,59,8.573311024,514.3986614
http://localhost:8072/aggregate-travel-times/30345882/30357505/18/19/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 18:00 to 19:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,82,11.47006156,688.2036935
http://localhost:8072/aggregate-travel-times/30345882/30357505/18/19/2022-11-01/2023-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 18:00 to 19:00,From 2022-11-01 to 2023-04-01,weekdays,FALSE,105,65,7.991721608,479.5032965
http://localhost:8072/aggregate-travel-times/30345882/30357505/19/20/2023-11-01/2024-04-01/false/12345,Bloor St W,Eastbound,Aberfoyle Cres & Gardenvale Rd,Runnymede Rd,From 19:00 to 20:00,From 2023-11-01 to 2024-04-01,weekdays,FALSE,103,81,8.81789907,529.0739442
